flags_num,tcp_flag
1,FIN
2,SYN
3,FIN|SYN
4,RST
5,FIN|RST
6,SYN|RST
7,FIN|SYN|RST
8,PSH
9,FIN|PSH
10,SYN|PSH
11,FIN|SYN|PSH
12,RST|PSH
13,FIN|RST|PSH
14,SYN|RST|PSH
15,FIN|SYN|RST|PSH
16,ACK
17,FIN|ACK
18,SYN|ACK
19,FIN|SYN|ACK
20,RST|ACK
21,FIN|RST|ACK
22,SYN|RST|ACK
23,FIN|SYN|RST|ACK
24,PSH|ACK
25,FIN|PSH|ACK
26,SYN|PSH|ACK
27,FIN|SYN|PSH|ACK
28,RST|PSH|ACK
29,FIN|RST|PSH|ACK
30,SYN|RST|PSH|ACK
31,FIN|SYN|RST|PSH|ACK
32,URG
33,FIN|URG
34,SYN|URG
35,FIN|SYN|URG
36,RST|URG
37,FIN|RST|URG
38,SYN|RST|URG
39,FIN|SYN|RST|URG
40,PSH|URG
41,FIN|PSH|URG
42,SYN|PSH|URG
43,FIN|SYN|PSH|URG
44,RST|PSH|URG
45,FIN|RST|PSH|URG
46,SYN|RST|PSH|URG
47,FIN|SYN|RST|PSH|URG
48,ACK|URG
49,FIN|ACK|URG
50,SYN|ACK|URG
51,FIN|SYN|ACK|URG
52,RST|ACK|URG
53,FIN|RST|ACK|URG
54,SYN|RST|ACK|URG
55,FIN|SYN|RST|ACK|URG
56,PSH|ACK|URG
57,FIN|PSH|ACK|URG
58,SYN|PSH|ACK|URG
59,FIN|SYN|PSH|ACK|URG
60,RST|PSH|ACK|URG
61,FIN|RST|PSH|ACK|URG
62,SYN|RST|PSH|ACK|URG
63,FIN|SYN|RST|PSH|ACK|URG
